,X,Company.name.Latin.alphabet,Inactive,Quoted,Branch,OwnData,Country.ISO.code,NACE.Rev..2..core.code..4.digits.,Consolidation.code,Last.avail..year,Operating.revenue..Turnover..th.USD.Last.avail..yr,Number.of.employees.Last.avail..yr,Number.of.publications,Number.of.live.publications,Number.of.pending.publications,Number.of.granted.publications,Node,DegreeCentrality,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality
58,14,SUBARU ,No,Yes,No,No,JP,2910,C2,2022,"28,295,175","37,521","48,051","24,054","14,805","17,603",SUBARU ,5,0,0.003472222,0.023229993
59,54,SUMOTORI,No,No,No,No,FR,7021,U1,2021,76,n.a.,n.a.,n.a.,n.a.,n.a.,SUMOTORI GROUP PJSC,1,0,0.003448276,0.022300849
60,29,SUNGWOO HITECH ,No,Yes,No,No,KR,2932,C2,2022,"3,138,195",n.a.,"2,413","2,057","1,375",778,SUNGWOO HITECH ,1,0,0.002525253,0.000702121
61,11,SUZUKI MOTOR ,No,Yes,No,No,JP,2910,C2,2022,"34,774,078","70,012","19,149","13,704","9,771","6,634",SUZUKI MOTOR ,5,0,0.003472222,0.023229993
62,7,TESLA,No,Yes,No,No,US,2910,C1,2022,"81,462,000","127,855","4,385","4,143","2,415","1,864",TESLA MOTORS,1,0,0.003322259,0.038471431
63,2,TOYOTA MOTOR ,No,Yes,No,No,JP,2910,C2,2022,"278,351,047","375,235","598,073","389,401","255,063","209,466",TOYOTA MOTOR ,4,109.85,0.004310345,0.289139337
64,1,VOLKSWAGEN,No,Yes,No,No,DE,2910,C2,2022,"310,607,637","646,837","179,268","110,835","66,205","73,723",VOLKSWAGEN,16,1169.666667,0.00617284,0.925935603
65,12,VOLVO CAR,No,Yes,No,No,SE,2910,C1,2022,"31,896,559","46,345","7,714","6,145","2,751","4,142",VOLVO CAR,1,0,0.004048583,0.045576583
66,16,VOLVO PERSONVAGNAR AKTIEBOLAG,No,No,No,No,SE,2910,U1,2022,"20,627,007","18,858","1,446",555,382,542,VOLVO PERSONVAGNAR,1,0,0.003278689,0.018788605
67,28,WABCO HOLDING,No,No,No,No,US,2910,C1,2019,"3,421,400","13,911","78,507","20,595","12,715","36,572",WABCO HOLDING,1,0,0.003194888,0.017747882
68,9,ZF FRIEDRICHSHAFEN,No,No,No,No,DE,2815,C2,2022,"48,550,542","162,614","136,531","49,654","34,563","54,313",ZF FRIEDRICHSHAFEN,7,335,0.004854369,0.185167628
69,68,ZHEJIANG GEELY HOLDING (GROUP) ,No,No,No,No,CN,NA,NF,NA,n.a.,n.a.,"43,674","33,751","14,288","28,167",ZHEJIANG GEELY HLDG GRP ,6,398,0.004237288,0.141209329
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
