"","X","Node","DegreeCentrality","BetweennessCentrality","ClosenessCentrality","EigenvectorCentrality"
"22","DOGUS OTOMOTIV SERVIS VE","DOGUS OTOMOTIV SERVIS VE",1,0,0.00432900432900433,0.123200349872743
"23","DRB-HICOM BHD","DRB-HICOM BHD",1,0,0.00432900432900433,0.123200349872743
"24","E.GO MOBILE","E.GO MOBILE",1,0,0.00363636363636364,0.0246374764204497
"25","EICHER MOTORS","EICHER MOTORS",1,0,0.00404858299595142,0.0455765827236644
"26","FAIR GROUP","FAIR GROUP",1,0,0.00367647058823529,0.0361988203084487
"27","FARADAY&FUTURE","FARADAY&FUTURE",1,0,0.00327868852459016,0.0187886054430643
"28","FAURECIA","FAURECIA",2,69,0.0033003300330033,0.019127226782354
"29","FIAT","FIAT",1,0,0.00289017341040462,0.00551445555265158
"30","FORD MOTOR","FORD MOTOR ",8,125.916666666667,0.00434782608695652,1
"31","GUSTAV MAGENWIRTH","GUSTAV MAGENWIRTH ",1,0,0.00363636363636364,0.0246374764204497
"32","HYUNDAI MOTOR","HYUNDAI MOTOR ",9,705.55,0.00492610837438424,0.272059101524725
"33","ISUZU MOTORS","ISUZU MOTORS",6,429.033333333333,0.0043859649122807,0.0634545040232401
"34","KAMAZ","KAMAZ",3,137,0.00409836065573771,0.133387573558251
"35","KANDI TECHNOLOGY GROUP","KANDI TECHNOLOGY GROUP",1,0,0.00327868852459016,0.0187886054430643
"36","KIA MOTORS","KIA MOTORS ",1,0,0.00367647058823529,0.0361988203084487
"37","KIV GROUP","KIV GROUP",1,0,0.00319488817891374,0.0177478819107851
"38","MAGNETI MARELLI","MAGNETI MARELLI",1,0,0.00235849056603774,0.00488061425913483
"39","MARCOPOLO","MARCOPOLO",1,0,0.00319488817891374,0.0177478819107851
"40","MAZDA MOTOR","MAZDA MOTOR ",9,231.166666666667,0.0036101083032491,0.0414449368865831
"41","MONET TECHNOLOGY","MONET TECHNOLOGY",5,0,0.00347222222222222,0.0232299930921699
"42","NAVISTAR INTERNATIONAL","NAVISTAR INTERNATIONAL ",2,201,0.00444444444444444,0.132961578391012
"43","PATRIA INDUSTRY OYJ","PATRIA INDUSTRY OYJ",1,0,0.00404858299595142,0.0455765827236644
"44","PEUGEOT","PEUGEOT",4,332,0.00381679389312977,0.0382554620769573
"45","PIAGGIO","PIAGGIO ",1,0,0.00319488817891374,0.0177478819107851
"46","PORSCHE AUTOMOBIL HOLDING SE","PORSCHE AUTOMOBIL HOLDING SE",6,63.2833333333333,0.00495049504950495,0.596190499107007
"47","PSMA RUS","PSMA RUS",1,0,0.00302114803625378,0.00509008002224325
"48","PUNCH POWERTRAIN","PUNCH POWERTRAIN",1,0,0.00302114803625378,0.00509008002224325
"49","REGIE NATLE DES USINES","REGIE NATLE DES USINES",1,0,0.00327868852459016,0.0187886054430643
"50","RIMAC AUTOMOBILI DOO","RIMAC AUTOMOBILI DOO",2,4,0.0040650406504065,0.115524939617924
"51","ROBERT BOSCH","ROBERT BOSCH",1,0,0.00363636363636364,0.0246374764204497
"52","RUSH GROUP","RUSH GROUP LTD",1,0,0.00268817204301075,0.00254497291732937
"53","SEAT","SEAT",2,69,0.00436681222707424,0.125420752424773
"54","SHANGHAI AUTOMOTIVE IND","SHANGHAI AUTOMOTIVE IND ",1,0,0.00432900432900433,0.123200349872743
"55","SOLLERS","SOLLERS",2,67.6666666666666,0.00363636363636364,0.138569442890243
"56","SUBARU","SUBARU ",5,0,0.00347222222222222,0.0232299930921699
"57","SUMOTORI GROUP PJSC","SUMOTORI GROUP PJSC",1,0,0.00344827586206897,0.0223008486629108
"58","SUNGWOO HITECH","SUNGWOO HITECH ",1,0,0.00252525252525253,0.000702120702694704
"59","SUZUKI MOTOR","SUZUKI MOTOR ",5,0,0.00347222222222222,0.0232299930921699
"60","TESLA MOTORS","TESLA MOTORS",1,0,0.00332225913621262,0.0384714308089757
"61","TOYOTA MOTOR","TOYOTA MOTOR ",4,109.85,0.00431034482758621,0.289139336892083
"62","UZAVTOSANOAT JSC","UZAVTOSANOAT JSC",3,137,0.00305810397553517,0.00527692134465629
"63","VOLKSWAGEN","VOLKSWAGEN",16,1169.66666666667,0.00617283950617284,0.925935602550205
"64","VOLKSWAGEN GROUP","VOLKSWAGEN GROUP",3,10.85,0.00420168067226891,0.375847063244954
"65","VOLVO","VOLVO",10,823.033333333333,0.00561797752808989,0.342539454068159
"66","VOLVO CAR","VOLVO CAR",1,0,0.00404858299595142,0.0455765827236644
"67","VOLVO PERSONVAGNAR","VOLVO PERSONVAGNAR",1,0,0.00327868852459016,0.0187886054430643
"68","VOLVO-WORLDWIDE PASSENGER BUS","VOLVO-WORLDWIDE PASSENGER BUS",1,0,0.00404858299595142,0.0455765827236644
"69","WABCO HOLDING","WABCO HOLDING",1,0,0.00319488817891374,0.0177478819107851
"70","ZF FRIEDRICHSHAFEN","ZF FRIEDRICHSHAFEN",7,335,0.00485436893203883,0.185167628162173
"71","ZHEJIANG GEELY HLDG GRP","ZHEJIANG GEELY HLDG GRP ",6,398,0.00423728813559322,0.141209328707035
